tree;area;d1;d2;h;cover;collapsed_cropsize;neighboiurhood_cropsize;n_neigh;long;diam;cowe;nseed;totalseedw;oneseedw;fweight;sunken;fa_4cone_chl;fa_apo;fa_mus;fa_mesophleps;fa_elachista;fa_nanodiscus;fa_megastigmus;x_lat;y_long
O054;SABOJI;298;283;291;14.4;4058;4;6;8.67;9.31;388.56;5.06;86.65;17.46;301.9;55.38;0.3;0;0;0;0.03;0;0;36995239;-6513715
O067;SABOJI;479;431;527;16.1;4820;4;11;8.78;9.84;423.53;5.36;86.75;16.26;336.78;44.45;0.366666667;0.023255814;0;0.01;0.1;0.18;0.03;36995176;-6513765
O072;SABOJI;459;417;386;14.9;2815;4;10;9.14;9.53;438.28;4.7;94.07;20.62;344.21;53.21;0.1;0.046511628;0;0.02;0;0.06;0.02;36995259;-6513869
O105;SABOJI;483;396;278;19.3;2019;3;9;9.58;9.98;488.89;5.88;112.25;19.17;376.64;28.9;0;0.011627907;0;0.15;0;0.05;0.12;36995365;-6513696
O112;SABOJI;728;633;531;32.9;5879;4;8;11.31;10.25;529.04;5.84;128.56;22.14;400.48;27.74;0;0;0;0.03;0.08;0.13;0.1;36995345;-6513487
O123;SABOJI;438;277;386;5.75;2487;3;9;9.24;8.7;337.86;6.04;96;15.96;241.87;31.58;0.233333333;0;0;0;0.06;0;0.05;36995315;-6512945
O136;SABOJI;448;424;436;7.66;2261;3;9;9.52;9.65;425.55;6.04;92.49;15.37;333.06;26.51;0;0;0;0.06;0.03;0;0;36995242;-6512954
O137;SABOJI;286;189;227;1.84;979;3;8;8.99;9.16;349.62;5.14;75.57;14.71;274.06;44.58;0.1;0;0;0.11;0.07;0.01;0.15;36995384;-6513063
O148;SABOJI;623;598;498;25.4;8263;4;10;8.92;10.03;419.51;6.1;95.52;15.81;323.98;14.92;0;0;0.011627907;0.05;0.08;0.04;0.29;36995586;-6513227
O231;SABOJI;414;382;386;11;2359;3;9;9.9;9.4;455.87;6.42;109.16;17.05;346.71;43.2;0.166666667;0;0;0.07;0;0.02;0.11;36995465;-6513606
O241;SABOJI;615;535;510;22.6;1249;3;11;9.53;9.65;418.75;5.29;83.8;15.95;334.95;29.11;0;0;0;0.06;0.03;0;0;36995162;-6513477
O268;SABOJI;535;517;453;21;4135;3;10;8.92;8.97;360.93;4.64;79.23;17.25;281.71;36.53;0.033333333;0;0;0;0.04;0.02;0.07;36995216;-6513372
O304;SABOJI;535;505;473;48.4;3485;3;5;8.95;9.01;343.92;5.68;78.67;13.85;265.25;34.5;0.033333333;0.081395349;0.046511628;0.01;0.06;0.06;0.16;3699556;-6513504
O314;SABOJI;248;242;240;4;665;3;13;9.33;9.51;404.16;5.88;105.27;17.91;298.89;24.06;0;0;0;0;0.11;0.02;0.26;36995439;-651294
O334;SABOJI;398;346;413;8.11;2317;3;9;8.98;8.51;321.69;5.44;78.32;14.48;243.38;19.44;0;0.023255814;0.023255814;0.07;0.05;0.05;0.22;36995523;-6513075
O352;SABOJI;532;368;337;20.5;2982;3;4;9.68;9.25;374.97;5.48;74.16;13.65;300.8;21.58;0;0;0;0.1;0.01;0.02;0.2;36995052;-6513237
O384;SABOJI;495;483;372;20.3;3179;3;8;9.01;9.01;406.67;6.04;94.98;15.84;311.68;39.33;0;0.011627907;0;0.02;0.02;0.06;0.03;36995707;-6513529
O463;SABOJI;378;327;478;7.62;708;3;19;9.26;9.13;360.65;5.46;85.61;15.7;275.04;17.59;0;0;0;0.04;0.02;0;0.09;36995695;-6513194
O488;SABOJI;505;473;438;10.9;1862;3;11;8.66;8.95;332.88;5.1;82.72;16.41;250.16;36.03;0;0;0;0.04;0;0.01;0.05;3699563;-6513114
O514;SABOJI;510;377;454;22.7;2583;3;11;8.74;9.72;406.05;7.08;89.32;12.77;316.73;15.37;0;0;0;0.23;0;0.09;0.31;369953;-6513953
O553;SABOJI;543;521;451;26.6;4639;3;15;9.36;9.01;396.72;4.76;66.71;13.99;330.01;22.68;0;0.011627907;0;0.01;0.01;0.05;0;3699567;-6513045
O580;SABOJI;452;423;302;16.4;1731;3;9;8.34;8.81;329.68;5.14;77.95;15.36;251.73;32.98;0;0.151162791;0.104651163;0.01;0.01;0.02;0.01;36995668;-651311
O582;SABOJI;521;498;332;7.17;1253;3;10;9.36;9.43;387.33;5.18;89.44;17.68;297.9;29.3;0;0;0;0.14;0.05;0.09;0.04;36995727;-6513253
O621;SABOJI;466;441;308;15;2906;3;18;9.87;9.63;426.44;5.02;93.47;18.95;332.97;23.46;0;0;0;0.13;0;0.07;0.02;3699506;-6513149
O626;SABOJI;384;361;406;5.98;1395;3;13;9.22;8.8;317.1;4.26;69.8;16.86;247.3;27.85;0;0.011627907;0;0.03;0.03;0;0.07;36995796;-6513376
O642;SABOJI;473;264;424;15.2;1715;3;13;8.11;8.95;324.55;6.1;78.41;12.85;246.13;7.82;0;0;0.011627907;0.09;0.08;0.02;0.18;36995003;-6513157
O682;SABOJI;641;605;467;36.8;4289;2;12;8.75;8.78;332.01;4.82;75.29;16.05;256.71;14.19;0;0.023255814;0;0.18;0;0.02;0.34;36995912;-6513389
O685;SABOJI;535;482;386;46.2;5126;2;17;7.49;8;228.03;5.33;75.91;14.39;152.11;42.83;0;0.034883721;0;0.08;0.01;0.04;0.19;3699526;-6513934
O766;SABOJI;341;258;485;28;1606;2;8;9.84;9.33;373.63;4.07;80.6;20.46;293.02;6.22;0;0.023255814;0;0.37;0;0.03;0.46;3699577;-6513041
O839;SABOJI;408;229;403;1.57;733;3;13;8.36;8.33;294.58;4.5;70.07;15.73;224.51;32.21;0;0;0;0.03;0;0.1;0.01;3699577;-6513041
